ImageId,Label
1,8
2,0
3,3
4,1
5,1
6,9
7,8
8,4
9,4
10,2
11,8
12,7
13,2
14,9
15,9
16,9
17,6
18,1
19,5
20,9
21,4
22,1
23,7
24,1
25,8
26,1
27,2
28,6
29,9
30,9
31,4
32,7
33,5
34,6
35,8
36,2
37,8
38,6
39,9
40,6
41,1
42,5
43,9
44,6
45,2
46,8
47,1
48,6
49,5
50,4
51,5
52,6
53,4
54,6
55,3
56,2
57,1
58,5
59,1
60,2
61,1
62,1
63,6
64,9
65,9
66,0
67,7
68,9
69,4
70,3
71,5
72,7
73,2
74,3
75,2
76,0
77,0
78,3
79,7
80,3
81,5
82,6
83,7
84,5
85,5
86,5
87,0
88,0
89,7
90,5
91,9
92,2
93,9
94,7
95,2
96,9
97,4
98,4
99,7
100,1
101,8
102,7
103,5
104,0
105,5
106,1
107,2
108,4
109,5
110,9
111,9
112,0
113,8
114,1
115,1
116,0
117,5
118,1
119,4
120,9
121,8
122,4
123,4
124,8
125,2
126,2
127,0
128,3
129,3
130,1
131,3
132,4
133,2
134,3
135,9
136,4
137,5
138,5
139,7
140,6
141,9
142,6
143,7
144,5
145,8
146,5
147,2
148,2
149,2
150,7
151,7
152,7
153,7
154,7
155,4
156,6
157,6
158,7
159,7
160,6
161,7
162,7
163,2
164,3
165,1
166,4
167,1
168,7
169,6
170,0
171,5
172,8
173,3
174,5
175,7
176,6
177,0
178,3
179,5
180,9
181,3
182,0
183,0
184,3
185,6
186,2
187,7
188,1
189,1
190,6
191,6
192,0
193,3
194,8
195,0
196,3
197,1
198,3
199,9
200,1
201,1
202,9
203,0
204,4
205,2
206,0
207,2
208,8
209,4
210,8
211,6
212,4
213,8
214,9
215,4
216,0
217,6
218,0
219,9
220,5
221,2
222,8
223,1
224,6
225,4
226,7
227,1
228,0
229,9
230,0
231,7
232,1
233,9
234,6
235,0
236,0
237,9
238,5
239,4
240,6
241,6
242,3
243,6
244,3
245,5
246,9
247,8
248,9
249,7
250,5
251,0
252,9
253,1
254,6
255,8
256,7
257,7
258,1
259,9
260,0
261,8
262,3
263,8
264,3
265,9
266,5
267,2
268,0
269,2
270,1
271,5
272,3
273,5
274,0
275,5
276,8
277,1
278,8
279,6
280,6
281,5
282,2
283,7
284,8
285,8
286,1
287,5
288,3
289,7
290,2
291,0
292,5
293,6
294,9
295,6
296,0
297,7
298,6
299,0
300,5
301,6
302,0
303,5
304,0
305,4
306,6
307,1
308,1
309,8
310,0
311,7
312,9
313,7
314,4
315,2
316,6
317,5
318,3
319,4
320,3
321,2
322,1
323,8
324,9
325,7
326,4
327,6
328,6
329,3
330,9
331,1
332,9
333,1
334,2
335,0
336,7
337,0
338,3
339,8
340,5
341,0
342,9
343,1
344,5
345,5
346,4
347,6
348,5
349,5
350,0
351,2
352,7
353,6
354,5
355,6
356,4
357,8
358,2
359,8
360,4
361,0
362,0
363,4
364,3
365,4
366,5
367,3
368,5
369,1
370,0
371,7
372,3
373,6
374,9
375,6
376,1
377,3
378,1
379,7
380,7
381,8
382,1
383,0
384,3
385,2
386,5
387,9
388,1
389,7
390,0
391,1
392,3
393,3
394,0
395,8
396,1
397,9
398,2
399,5
400,4
401,5
402,3
403,5
404,5
405,2
406,1
407,2
408,5
409,9
410,8
411,4
412,8
413,9
414,4
415,9
416,9
417,1
418,1
419,7
420,5
421,6
422,8
423,9
424,3
425,8
426,4
427,4
428,9
429,4
430,3
431,8
432,8
433,3
434,2
435,6
436,5
437,3
438,3
439,2
440,4
441,6
442,2
443,2
444,5
445,1
446,2
447,1
448,7
449,4
450,9
451,5
452,4
453,0
454,4
455,1
456,4
457,6
458,8
459,5
460,4
461,9
462,8
463,0
464,6
465,2
466,1
467,6
468,1
469,5
470,1
471,9
472,5
473,8
474,3
475,9
476,3
477,1
478,4
479,1
480,8
481,7
482,3
483,1
484,6
485,6
486,2
487,5
488,2
489,4
490,6
491,0
492,2
493,7
494,0
495,2
496,1
497,7
498,5
499,9
500,0
501,4
502,9
503,0
504,2
505,3
506,3
507,6
508,3
509,8
510,8
511,8
512,1
513,2
514,6
515,3
516,2
517,5
518,4
519,2
520,9
521,6
522,5
523,6
524,1
525,0
526,1
527,0
528,1
529,7
530,1
531,8
532,6
533,2
534,6
535,1
536,4
537,0
538,3
539,3
540,5
541,0
542,8
543,8
544,8
545,8
546,1
547,2
548,6
549,4
550,7
551,4
552,4
553,9
554,0
555,5
556,4
557,9
558,3
559,9
560,9
561,8
562,8
563,6
564,1
565,9
566,2
567,3
568,6
569,1
570,8
571,1
572,2
573,8
574,4
575,2
576,1
577,7
578,0
579,9
580,0
581,5
582,7
583,6
584,7
585,3
586,1
587,8
588,6
589,3
590,3
591,3
592,2
593,3
594,6
595,9
596,0
597,0
598,3
599,6
600,0
601,9
602,1
603,7
604,1
605,5
606,5
607,6
608,2
609,1
610,5
611,5
612,1
613,4
614,8
615,0
616,3
617,2
618,7
619,6
620,7
621,5
622,0
623,6
624,3
625,6
626,1
627,4
628,8
629,7
630,9
631,1
632,9
633,9
634,6
635,7
636,3
637,2
638,3
639,3
640,6
641,8
642,6
643,4
644,3
645,7
646,2
647,5
648,0
649,1
650,6
651,1
652,5
653,1
654,2
655,4
656,9
657,2
658,4
659,6
660,5
661,5
662,4
663,4
664,8
665,4
666,6
667,2
668,4
669,3
670,9
671,2
672,4
673,9
674,2
675,3
676,9
677,3
678,4
679,2
680,7
681,9
682,9
683,9
684,1
685,3
686,9
687,9
688,8
689,9
690,8
691,0
692,3
693,2
694,1
695,9
696,7
697,2
698,5
699,2
700,5
701,7
702,0
703,2
704,5
705,0
706,2
707,4
708,5
709,1
710,2
711,2
712,6
713,4
714,3
715,0
716,8
717,8
718,7
719,3
720,2
721,2
722,3
723,3
724,8
725,1
726,7
727,5
728,7
729,4
730,3
731,4
732,7
733,5
734,3
735,6
736,3
737,6
738,6
739,4
740,5
741,5
742,6
743,0
744,7
745,3
746,9
747,6
748,6
749,9
750,0
751,9
752,8
753,6
754,6
755,1
756,3
757,8
758,1
759,9
760,8
761,7
762,7
763,4
764,3
765,2
766,0
767,0
768,7
769,9
770,0
771,8
772,0
773,0
774,7
775,4
